from_lat,from_lon,to_lat,to_lon,km,source
16.28676,102.78511,15.46899,100.15983,382.8,google
16.28676,102.78511,15.0652,104.05148,254.5,google
16.28676,102.78511,13.96135,101.88192,328.6,google
16.28676,102.78511,13.91039,101.65502,331.4,google
14.78251,101.9564,12.64045,102.0921,310.9,google
14.78251,101.9564,13.85167,101.0799,214.6,google
14.78251,101.9564,14.8798,100.3025,226.2,google
14.78251,101.9564,16.02498,103.84685,297.8,google
14.78251,101.9564,14.80226,101.89712,12.9,google
14.78251,101.9564,15.46899,100.15983,258.4,google
14.78251,101.9564,15.0652,104.05148,260.0,google
14.78251,101.9564,13.96135,101.88192,133.0,google
14.78251,101.9564,13.91039,101.65502,135.8,google
14.71108,101.44291,12.64045,102.0921,325.9,google
14.71108,101.44291,13.85167,101.0799,153.3,google
14.71108,101.44291,14.8798,100.3025,160.4,google
14.71108,101.44291,16.02498,103.84685,343.1,google
14.71108,101.44291,14.80226,101.89712,64.9,google
14.71108,101.44291,15.46899,100.15983,219.4,google
14.71108,101.44291,15.0652,104.05148,329.6,google
14.71108,101.44291,13.96135,101.88192,147.9,google
14.71108,101.44291,13.91039,101.65502,150.7,google
14.71352,100.82881,12.64045,102.0921,354.0,google
14.71352,100.82881,13.85167,101.0799,122.4,google
14.71352,100.82881,14.8798,100.3025,70.1,google
14.71352,100.82881,16.02498,103.84685,429.8,google
14.71352,100.82881,14.80226,101.89712,146.0,google
14.71352,100.82881,15.46899,100.15983,129.1,google
14.71352,100.82881,15.0652,104.05148,410.7,google
14.71352,100.82881,13.96135,101.88192,166.7,google
